logTime,startlat,startlon,ACType,AC_role,ttland,hrstart,distapt,flightLevel,emitterCat,airGroundVector_groundSpeed,calculated_time
25-Jul-2024 13:00:00,36.6322350874543,-121.347208265215,E175,PAX,43.7348797159831,13,216.531195537525,284.25,3,423.8525390625,30.651867182364
18-Jul-2024 23:00:00,36.7962798289955,-121.203632466495,E175,PAX,44.214630875651,23,219.340535081069,185,3,387.158203125,33.992388637611
19-Jul-2024 03:00:00,36.80877674371,-121.192016657442,E175,PAX,45.4039682210286,3,219.56570589277,198.25,3,379.0283203125,34.7571451724362
22-Jul-2024 05:00:00,36.6592819802463,-121.336864829063,E175,PAX,40.3193001871745,5,217.37271658619,240.75,3,424.951171875,30.6914390602218
25-Jul-2024 14:00:00,37.8426399081945,-119.284833949059,E175,PAX,48.3543576700846,14,237.660072192388,330,3,402.978515625,35.385520018176
26-Jul-2024 21:00:00,36.6561164706945,-121.337624564767,E175,PAX,40.8794294474284,21,217.264805036995,264.5,3,429.1259765625,30.3777655378574
27-Jul-2024 18:00:00,36.6241351515055,-121.356908977032,E175,PAX,41.2379159912109,18,216.519979371932,350,3,461.42578125,28.1544709684899
28-Jul-2024 17:00:00,35.1444395631552,-114.591438230127,B787-9,PAX,36.1034775349935,17,202.282762383936,380,5,466.9189453125,25.9937315992031
02-Jul-2024 13:00:00,36.6313506290317,-121.354279238731,E175,PAX,41.1976398763021,13,216.709547596142,239,3,444.9462890625,29.222791998479
11-Jul-2024 00:00:00,36.6127763316035,-121.371693816036,E175,PAX,41.4286798543294,0,216.486194014453,288.75,3,413.525390625,31.4108200737937
11-Jul-2024 15:00:00,37.796264514327,-119.452008325607,E175,PAX,55.0446728637695,15,236.563282273292,350,3,427.587890625,33.1950395406442
15-Jul-2024 13:00:00,36.7916766554117,-121.199009679258,E175,PAX,40.4759049479167,13,218.99139716565,207.25,3,402.099609375,32.6771862583062
26-Jul-2024 14:00:00,37.8142896294594,-119.404011704028,E175,PAX,50.6190407918294,14,237.124574094658,350,3,384.521484375,37.0004668758751
28-Jul-2024 18:00:00,36.7957762442529,-121.2034034729,E175,PAX,42.0538102864583,18,219.310367758405,185.5,3,390.8935546875,33.6629292238497
30-Jul-2024 17:00:00,36.6086331568658,-121.370583549142,E175,PAX,39.2644012776693,17,216.293026365016,350,3,444.0673828125,29.2243521685999
30-Jul-2024 23:00:00,36.6431578807533,-121.339130457491,E175,PAX,40.1587838216146,23,216.774077665553,350,3,446.044921875,29.1594949792481
